frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
171,35.575,CRUISE,0.2625,0.375,0.0,-0.0028,0.0011,0.0,0.0,0.0,
172,35.775,CRUISE,0.2625,0.375,0.0,-0.0025,0.001,0.0,0.0,0.0,
173,35.969,CRUISE,0.2625,0.375,0.0,-0.0022,0.0008,0.0,0.0,0.0,
174,36.165,CRUISE,0.2625,0.375,0.0,-0.0018,0.0007,0.0,0.0,0.0,
175,36.359,CRUISE,0.2625,0.375,0.0,-0.0014,0.0005,0.0,0.0,0.0,
176,36.567,CRUISE,0.2625,0.375,0.0,-0.0009,0.0003,0.0,0.0,0.0,
177,36.757,CRUISE,0.2625,0.375,0.0,-0.0004,0.0001,0.0,0.0,0.0,
178,36.952,CRUISE,0.2794,0.3991,0.0,0.0001,0.0,0.346,0.9887,0.0,
179,37.151,CRUISE,0.2794,0.3991,0.0,0.0002,0.0,0.0,0.0,0.0,
180,37.331,CRUISE,0.2794,0.3991,0.0,0.0003,0.0,0.0,0.0,0.0,
181,37.512,CRUISE,0.2794,0.3991,0.0,0.0004,0.0,0.0,0.0,0.0,
182,37.695,CRUISE,0.2794,0.3991,0.0,0.0005,0.0,0.0,0.0,0.0,
183,37.875,CRUISE,0.2794,0.3991,0.0,0.0005,0.0,0.0,0.0,0.0,
184,38.061,CRUISE,0.2794,0.3991,0.0,0.0006,0.0001,0.0,0.0,0.0,
185,38.235,CRUISE,0.2814,0.4021,0.0,0.0007,0.0001,0.0407,0.1164,0.0,
186,38.417,CRUISE,0.2814,0.4021,0.0,0.0007,0.0001,0.0,0.0,0.0,
187,38.598,CRUISE,0.2814,0.4021,0.0,0.0008,0.0001,0.0,0.0,0.0,
188,38.779,CRUISE,0.2814,0.4021,0.0,0.0008,0.0001,0.0,0.0,0.0,
189,38.966,CRUISE,0.2876,0.4108,0.0,0.0009,0.0001,0.0403,0.1152,0.0,
190,39.157,CRUISE,0.3053,0.4362,0.0,0.0011,0.0001,0.341,0.9743,0.0,
