scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
pedestrian_curb,ttc_only,25,0.5714,0.0065,1.0,0.8438,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,26,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,26,0.7459,0.5183,1.0,0.6931,1.0,0,1933.3,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,26,0.4375,-0.2343,1.0,0.6563,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,26,0.455,-0.282,1.0,0.839,1.0,0,1027.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,26,0.5743,0.0135,1.0,0.8442,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,26,0.5743,0.0135,1.0,0.8442,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,27,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,27,0.7455,0.5103,1.0,0.7071,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,27,0.43,-0.2525,1.0,0.6552,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,27,0.3575,-0.4595,1.0,0.7064,1.0,0,1759.8,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,27,0.5817,0.0322,1.0,0.8442,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,27,0.5817,0.0322,1.0,0.8442,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,28,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,28,0.7553,0.5377,1.0,0.7012,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,28,0.4351,-0.2423,1.0,0.6603,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,28,0.3418,-0.5109,1.0,0.731,1.0,0,1662.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,28,0.5725,0.009,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,28,0.5725,0.009,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,29,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,29,0.7383,0.4993,1.0,0.6926,1.0,0,1933.3,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,29,0.4302,-0.2519,1.0,0.6549,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,29,0.5503,0.0746,1.0,0.6024,1.0,0,3260.1,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,29,0.5777,0.0222,1.0,0.8439,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,29,0.5777,0.0222,1.0,0.8439,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,0,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,0,0.6045,0.1867,1.0,0.649,1.0,0,266.7,EARNED_COMMIT,2
merge_hesitation,fixed_delay,0,0.3765,-0.4182,1.0,0.7192,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,0,0.2134,-0.6888,1.0,0.4445,1.0,0,3234.2,RANDOM_DELAY,1
merge_hesitation,risk_threshold,0,0.5694,0.0015,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,0,0.5694,0.0015,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,1,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,1,0.6221,0.2323,1.0,0.646,1.0,0,266.7,EARNED_COMMIT,2
merge_hesitation,fixed_delay,1,0.3757,-0.4234,1.0,0.7251,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,1,0.2252,-0.6593,1.0,0.4445,1.0,0,2700.2,RANDOM_DELAY,1
merge_hesitation,risk_threshold,1,0.572,0.008,1.0,0.844,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,1,0.572,0.008,1.0,0.844,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,2,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,2,0.6089,0.1956,1.0,0.6532,1.0,0,233.3,EARNED_COMMIT,2
merge_hesitation,fixed_delay,2,0.3825,-0.407,1.0,0.7263,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,2,0.2198,-0.6728,1.0,0.4445,1.0,0,3552.8,RANDOM_DELAY,1
merge_hesitation,risk_threshold,2,0.5668,-0.005,1.0,0.844,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,2,0.5668,-0.005,1.0,0.844,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,3,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,3,0.6104,0.2042,1.0,0.6438,1.0,0,266.7,EARNED_COMMIT,2
merge_hesitation,fixed_delay,3,0.3718,-0.4315,1.0,0.722,1.0,0,2000.0,FIXED_DELAY,1
