frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
186,40.599,HOLD,0.4532,0.6474,0.0,0.0073,0.0092,0.0,0.0,0.0,
187,40.795,HOLD,0.4532,0.6474,0.0,0.0064,0.0086,0.0,0.0,0.0,
188,40.999,HOLD,0.5907,0.6454,0.463,0.0063,0.0085,0.0151,0.0431,0.0,
189,41.209,HOLD,0.5962,0.6446,0.4833,0.0072,0.0091,0.0,0.0,0.0,
190,41.401,HOLD,0.5996,0.6464,0.4902,0.0081,0.0096,0.0045,0.013,0.0,
191,41.64,HOLD,0.5986,0.6445,0.4914,0.0089,0.0102,0.0013,0.0037,0.0,
192,41.844,HOLD,0.6015,0.6492,0.4902,0.0096,0.0107,0.0016,0.0045,0.0,
193,42.076,HOLD,0.5994,0.6476,0.4868,0.0093,0.0102,0.0017,0.005,0.0,
194,42.3,HOLD,0.5997,0.6481,0.4868,0.0098,0.0106,0.0033,0.0094,0.0,
195,42.526,HOLD,0.4537,0.6481,0.0,0.0084,0.0095,0.0,0.0,0.0,
196,42.74,HOLD,0.4537,0.6481,0.0,0.0068,0.0085,0.0,0.0,0.0,
197,42.969,HOLD,0.6065,0.6506,0.5037,0.0063,0.0077,0.0002,0.0007,0.0,
198,43.25,HOLD,0.4531,0.6473,0.0,0.0048,0.0069,0.0,0.0,0.0,
199,43.518,HOLD,0.6076,0.6474,0.5148,0.0053,0.0072,0.0066,0.0189,0.0,
200,43.761,HOLD,0.5948,0.629,0.5148,0.0048,0.0067,0.0037,0.0106,0.0,
201,44.006,HOLD,0.5975,0.6309,0.5195,0.0043,0.0061,0.0053,0.0151,0.0,
202,44.304,HOLD,0.5943,0.6297,0.5115,0.0036,0.0054,0.0435,0.1242,0.0,
203,44.61,ABORT,0.4475,0.6393,0.0,0.0021,0.0051,0.0015,0.0044,0.0,G6
204,44.864,ABORT,0.571,0.5989,0.5058,0.0016,0.0048,0.1116,0.3189,0.0,
205,45.123,ABORT,0.5326,0.5484,0.4959,0.0009,0.0045,0.0826,0.2359,0.0,
206,45.366,ABORT,0.3839,0.5484,0.0,-0.0008,0.0052,0.0,0.0,0.0,
207,45.606,ABORT,0.3839,0.5484,0.0,-0.0024,0.0058,0.0,0.0,0.0,
208,45.814,ABORT,0.5277,0.5462,0.4847,-0.0031,0.0056,0.0278,0.0795,0.0,
209,46.005,ABORT,0.3831,0.5473,0.0,-0.0037,0.0063,0.0,0.0,0.0,
210,46.2,ABORT,0.3834,0.5477,0.0,-0.0042,0.0068,0.0,0.0,0.0,
211,46.394,ABORT,0.5234,0.5472,0.4679,-0.0038,0.0067,0.0,0.0,0.0,
212,46.611,ABORT,0.383,0.5472,0.0,-0.0052,0.0072,0.0,0.0,0.0,
213,46.857,ABORT,0.5184,0.5475,0.4506,-0.0047,0.007,0.0001,0.0003,0.0,
214,47.097,ABORT,0.5215,0.5484,0.4587,-0.0042,0.0068,0.0,0.0001,0.0,
215,47.308,ABORT,0.524,0.5481,0.4677,-0.0037,0.0066,0.0,0.0001,0.0,
216,47.546,ABORT,0.3837,0.5481,0.0,-0.005,0.0071,0.0,0.0,0.0,
217,47.77,ABORT,0.3837,0.5481,0.0,-0.0063,0.0075,0.0,0.0,0.0,
218,47.987,ABORT,0.3846,0.5495,0.0,-0.0066,0.0078,0.0,0.0,0.0,
219,48.179,ABORT,0.5253,0.551,0.4655,-0.0058,0.0076,0.002,0.0056,0.0,
220,48.368,ABORT,0.5252,0.5508,0.4655,-0.005,0.0073,0.0035,0.01,0.0,
221,48.571,ABORT,0.3867,0.5525,0.0,-0.0051,0.0073,0.0,0.0,0.0,
222,48.774,ABORT,0.5262,0.5522,0.4655,-0.0041,0.007,0.0003,0.0007,0.0,
223,48.971,ABORT,0.5236,0.5516,0.4583,-0.0032,0.0066,0.0022,0.0063,0.0,
224,49.163,ABORT,0.5243,0.5515,0.4607,-0.0022,0.0062,0.0,0.0,0.0,
225,49.362,ABORT,0.5149,0.5498,0.4335,-0.0023,0.0062,0.002,0.0057,0.0,
226,49.555,ABORT,0.5167,0.5481,0.4435,-0.0023,0.0062,0.0,0.0001,0.0,
227,49.754,ABORT,0.3846,0.5495,0.0,-0.0022,0.0061,0.0,0.0,0.0,
228,49.947,ABORT,0.3846,0.5495,0.0,-0.0031,0.0064,0.0,0.0,0.0,
229,50.178,ABORT,0.5182,0.5502,0.4435,-0.002,0.0059,0.0,0.0,0.0,
230,50.435,ABORT,0.5176,0.5494,0.4435,-0.0009,0.0055,0.0016,0.0045,0.0,
231,50.675,ABORT,0.5183,0.5504,0.4435,0.0002,0.005,0.0657,0.1878,0.0,
232,50.875,ABORT,0.5184,0.5505,0.4435,0.0013,0.0046,0.0541,0.1546,0.0,
233,51.076,ABORT,0.3095,0.4421,0.0,0.0001,0.0054,0.0,0.0,0.0,
234,51.267,ABORT,0.4386,0.4376,0.441,0.0007,0.0051,0.0404,0.1155,0.0,
235,51.474,ABORT,0.4338,0.4379,0.4242,0.001,0.0049,0.0184,0.0526,0.0,
236,51.674,ABORT,0.4363,0.4386,0.4311,0.0003,0.0048,0.0007,0.002,0.0,
237,51.868,ABORT,0.4434,0.4383,0.4555,-0.0003,0.0046,0.0045,0.0127,0.0,
238,52.081,ABORT,0.4457,0.4371,0.4656,0.0,0.0044,0.0191,0.0547,0.0,
239,52.305,ABORT,0.4457,0.4358,0.4687,-0.0006,0.0042,0.0222,0.0635,0.0,
240,52.504,ABORT,0.4476,0.4399,0.4656,-0.0012,0.004,0.0387,0.1106,0.0,
241,52.708,ABORT,0.4435,0.4403,0.4509,-0.0009,0.0039,0.0492,0.1406,0.0,
242,52.925,CRUISE,0.3082,0.4403,0.0,-0.0024,0.0045,0.0,0.0,0.0,G7
243,53.128,CRUISE,0.4358,0.4415,0.4225,-0.0022,0.0044,0.0291,0.0831,0.0,
244,53.33,CRUISE,0.3098,0.4425,0.0,-0.0027,0.0049,0.0,0.0,0.0,
245,53.534,CRUISE,0.311,0.4442,0.0,-0.003,0.0053,0.0,0.0,0.0,
246,53.739,PROBE,0.4334,0.4424,0.4124,-0.0035,0.0052,0.0317,0.0905,0.0,G1
247,53.934,PROBE,0.4287,0.4483,0.3831,-0.004,0.0051,0.0005,0.0014,0.0,
248,54.136,PROBE,0.3138,0.4483,0.0,-0.0052,0.0055,0.0,0.0,0.0,
249,54.335,PROBE,0.4186,0.4468,0.3528,-0.0048,0.0053,0.0001,0.0003,0.0,
250,54.55,PROBE,0.4282,0.448,0.3822,-0.0043,0.005,0.0016,0.0045,0.0,
251,54.75,COMMIT,0.3136,0.448,0.0,-0.0054,0.0054,0.0,0.0,0.0,G3
252,54.948,COMMIT,0.3139,0.4484,0.0,-0.0055,0.0056,0.0,0.0,0.0,
253,55.144,COMMIT,0.4319,0.4507,0.3879,-0.0048,0.0052,0.1024,0.007,0.0,
254,55.357,CRUISE,0.3168,0.4525,0.0,-0.0048,0.0052,0.1,0.0,0.0,G7_from_commit
255,55.554,CRUISE,0.4341,0.4526,0.3907,-0.004,0.0049,0.1069,0.0197,0.0,
256,55.758,CRUISE,0.4325,0.4526,0.3856,-0.0032,0.0046,0.1231,0.066,0.0,
257,55.954,CRUISE,0.3168,0.4526,0.0,-0.004,0.0048,0.1,0.0,0.0,
258,56.151,CRUISE,0.3168,0.4526,0.0,-0.0047,0.0051,0.0833,0.0,0.0,
259,56.345,CRUISE,0.3176,0.4537,0.0,-0.0045,0.0049,0.0,0.0,0.0,
260,56.546,CRUISE,0.319,0.4557,0.0,-0.0042,0.0046,0.0,0.0,0.0,
261,56.746,CRUISE,0.3162,0.4517,0.0,-0.0038,0.0042,0.0,0.0,0.0,
262,56.945,PROBE,0.4438,0.4666,0.3907,-0.0026,0.0037,0.0006,0.0016,0.0,G1
263,57.141,PROBE,0.3266,0.4666,0.0,-0.0034,0.0036,0.0,0.0,0.0,
264,57.349,PROBE,0.3266,0.4666,0.0,-0.0034,0.0036,0.0,0.0,0.0,
